Unnamed: 0,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
3,796499,en,Army of Thieves,0.9999999999999999,2021-10-27,0.7263157894736842,555,"['Action', 'Crime', 'Thriller']",A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,0.0,127.0,"Before Vegas, one locksmith became a legend."
5,574060,en,Gunpowder Milkshake,0.5683654809894712,2021-07-14,0.6842105263157894,347,"['Action', 'Thriller', 'Crime']","In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",0.002896127663603955,114.0,Revenge is best served ice cold.
7,610253,en,Halloween Kills,0.39932753848135705,2021-10-14,0.7368421052631579,1134,"['Horror', 'Thriller']","Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie's basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Laurie's trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michael's first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all.",0.9979119948170272,105.0,Evil dies tonight.
8,871964,pl,W lesie dziś nie zaśnie nikt 2,0.42557403910503944,2021-10-27,0.431578947368421,72,"['Horror', 'Thriller']","When something horrible happens to the only survivor of a bloody massacre, an insecure rookie cop must overcome his fears to stop further carnage.",0.0,96.0,
9,768449,en,American Badger,0.448734333319718,2021-03-05,0.6631578947368421,14,"['Action', 'Thriller']","A seemingly cold-blooded hitman is assigned to befriend a call girl, but all hell breaks loose when he is assigned to kill her.",0.0,88.0,Justice Before Redemption
10,639721,en,The Addams Family 2,0.4027825343810777,2021-10-01,0.7789473684210526,562,"['Animation', 'Comedy', 'Family']",The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,0.7830196429144474,93.0,Unhappy to see you again.
11,843241,ja,劇場版 七つの大罪 光に呪われし者たち,0.4330217016316284,2021-07-02,0.8842105263157894,210,"['Animation', 'Action']","With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.",0.0,0.0,
13,568620,en,Snake Eyes: G.I. Joe Origins,0.4107949671820555,2021-07-22,0.7263157894736842,786,"['Action', 'Adventure']","After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",0.3103617946747241,121.0,Every warrior has a beginning.
14,630004,en,The Vault,0.40868905743847217,2021-03-03,0.7473684210526315,392,"['Crime', 'Action', 'Thriller']","When an engineer learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime.",0.0,118.0,No job is impossible.
15,672582,en,The Deep House,0.3307978892201928,2021-06-30,0.5789473684210527,112,['Horror'],"While diving in a remote French lake, a couple of YouTubers who specialize in underwater exploration videos discover a house submerged in the deep waters. What was initially a unique finding soon turns into a nightmare when they discover that the house was the scene of atrocious crimes. Trapped, with their oxygen reserves falling dangerously, they realize the worst is yet to come: they are not alone in the house.",0.0,85.0,Breathe while you still can.
16,760747,no,I onde dager,0.33648604491141193,2021-07-30,0.7157894736842104,118,"['Action', 'Comedy', 'Thriller', 'Horror']","A dysfunctional couple head to a remote lakeside cabin under the guise of reconnecting, but each has secret designs to kill the other. Before they can carry out their respective plans, unexpected visitors arrive and the couple is faced with a greater danger than anything they could have plotted.",0.0,113.0,Til Death Do Us Part
17,675319,en,Zone 414,0.3108655831037072,2021-09-03,0.6105263157894736,86,"['Science Fiction', 'Thriller', 'Mystery']","In the near future on a colony of state-of-the-art robots, a private investigator is hired by the colony's creator to bring his missing daughter home.",0.0,98.0,What hides in the city of robots?
19,645788,en,The Protégé,0.3243222756707334,2021-08-19,0.7157894736842104,330,"['Action', 'Crime', 'Thriller']","Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.",0.06813739170325013,109.0,"Wherever you run, the past follows..."
20,879163,pt,Peçanha Contra o Animal,0.3681414580656107,2021-10-22,0.5684210526315789,13,"['Comedy', 'Crime']",,0.0,67.0,
21,589754,ru,Последний богатырь: Корень зла,0.32549855311982556,2021-01-01,0.7368421052631579,63,"['Fantasy', 'Adventure', 'Comedy']","Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.",0.2322263221867992,120.0,
22,846167,pl,W jak morderstwo,0.3737369254503238,2021-06-18,0.6105263157894736,25,"['Crime', 'Mystery', 'Drama', 'Comedy']",A stay-at-home mom and avid reader of crime stories discovers the deepest secrets of a small town's residents while investigating a woman's murder.,0.0,104.0,
